1 $0001 2 81.5  2.6 27 430
3 $0001 2 81.5  2.6 27 428
4 $0001 2 80.7  2.6 27 428
6 $0001 2 80.7  2.6 27 428
7 $0001 2 80.7  2.6 27 431
9 $0001 2 80.7  2.6 27 428
10 $0001 2 80.7  2.6 27 431
11 $0001 2 80.7  2.6 27 428
13 $0001 2 80.7  2.6 27 428
14 $0001 2 80.7  2.6 27 428
16 $0001 2 80.7  2.6 26 431
17 $0001 2 80.7  2.6 27 428
19 $0001 2 80.7  2.6 27 428
20 $0001 2 80.0  2.6 27 428
22 $0001 2 80.7  2.6 27 428
23 $0001 2 80.7  2.6 25 428
25 $0001 2 80.0  2.6 36 431
26 $0001 2 80.0  2.6 37 428
28 $0001 2 80.0  2.6 23 431
29 $0001 2 80.0  2.6 25 428
30 $0001 2 79.3  2.6 26 428
32 $0001 2 80.0  2.6 30 428
33 $0001 2 79.3  2.6 30 428
35 $0001 2 80.0  2.6 30 428
36 $0001 2 79.3  2.6 30 428
38 $0001 2 79.3  2.6 30 428
39 $0001 2 79.3  2.6 30 428
41 $0001 2 79.3  2.6 30 428
42 $0001 2 78.6  2.6 30 428
44 $0001 2 79.3  2.6 30 428
45 $0001 2 79.3  2.6 30 428
